FRH10  (2766,1768)  (2718,1805)  (2718,1757)  (2814,1748)  (2862,1753)  | overflowToLeft=false
M1  (1195,2192)  (1147,2239)  (1147,2191)  (1242,2240)  (1195,2144)  (1243,2144)  (1243,2192)  (1145,2143)  (1194,2287)  (1146,2287)  (1099,2195)  (1290,2240)  (1246,2288)  (1098,2288)  (1193,2096)  (1241,2096)  (1289,2096)  (1291,2144)  (1291,2192)  (1097,2147)  (1097,2099)  (1145,2095)  (1337,2086)  (1164,2335)  (1339,2134)  | overflowToLeft=false
NO10  | overflowToLeft=false
M2  (1252,1317)  (1204,1364)  (1204,1316)  (1299,1365)  (1252,1269)  (1300,1269)  (1300,1317)  (1202,1268)  (1251,1412)  (1203,1412)  (1156,1364)  (1156,1316)  (1347,1365)  (1324,1413)  (1155,1413)  (1250,1221)  (1298,1221)  (1346,1221)  (1348,1269)  (1348,1317)  (1154,1268)  (1154,1220)  (1202,1220)  (1394,1204)  (1276,1460)  (1228,1460)  (1108,1365)  (1108,1317)  (1395,1365)  (1180,1461)  (1250,1173)  (1396,1252)  (1396,1300)  (1106,1269)  (1106,1221)  (1199,1172)  (1260,1508)  (1060,1343)  (1443,1348)  (1444,1211)  (1058,1295)  | overflowToLeft=false
NO11  | overflowToLeft=false
M3  (2338,1503)  (2290,1550)  (2290,1502)  (2385,1551)  (2338,1455)  (2386,1455)  (2386,1503)  (2288,1454)  (2337,1598)  (2289,1598)  (2242,1550)  (2242,1502)  (2433,1551)  (2433,1599)  (2385,1599)  (2336,1407)  (2434,1409)  (2434,1457)  (2240,1454)  (2216,1406)  (2194,1515)  (2481,1505)  (2378,1647)  (2192,1467)  (2168,1419)  | overflowToLeft=false
NO12  | overflowToLeft=false
M4  (2149,2407)  (2101,2454)  (2101,2406)  (2196,2455)  (2149,2359)  (2197,2359)  (2197,2407)  (2099,2358)  (2053,2491)  (2053,2443)  (2244,2455)  (2245,2346)  (2245,2394)  (2051,2395)  (2051,2347)  (2249,2503)  (2005,2485)  (2292,2442)  (2293,2341)  (2293,2389)  (2003,2437)  | overflowToLeft=false
M5  (1743,1840)  (1695,1887)  (1695,1839)  (1790,1888)  (1743,1792)  (1791,1792)  (1791,1840)  (1693,1791)  | overflowToLeft=false
EM1  (114,2988)  (66,3035)  (66,2987)  (161,3036)  (114,2940)  (162,2940)  (162,2988)  (64,2939)  (209,3036)  (209,3084)  (210,2912)  | overflowToLeft=false
DK2  (480,523)  (432,570)  (432,522)  (527,571)  (480,475)  (528,475)  (528,523)  (430,474)  (479,618)  (431,618)  (384,570)  (384,522)  (575,571)  (575,619)  (527,619)  (383,619)  (478,427)  (526,427)  (576,438)  (576,486)  (382,474)  (382,426)  (430,426)  (479,666)  (431,666)  (336,539)  (623,534)  (623,582)  (599,667)  (551,667)  (624,442)  (334,491)  (671,490)  (671,538)  (286,503)  (286,455)  (238,483)  | overflowToLeft=false
EM3  (566,3370)  (518,3417)  (518,3369)  (613,3418)  (566,3322)  (614,3322)  (614,3370)  (516,3321)  (565,3465)  (470,3373)  (661,3418)  (661,3466)  (613,3466)  (564,3274)  (662,3309)  (662,3357)  (468,3325)  (495,3273)  | overflowToLeft=false
DK1  (601,267)  (553,314)  (553,266)  (648,315)  (601,219)  (649,219)  (649,267)  (600,362)  (505,341)  (505,293)  (696,315)  (696,363)  (648,363)  (579,171)  (627,171)  (697,226)  (457,332)  (457,284)  (582,123)  (630,123)  (581,75)  (629,75)  | overflowToLeft=false
EM2  (384,3041)  (336,3088)  (336,3040)  (431,3089)  (384,2993)  (432,2993)  (432,3041)  (334,2992)  (383,3136)  (335,3136)  (479,3089)  (479,3137)  (431,3137)  (382,2945)  (430,2945)  (286,2993)  (286,2945)  (334,2944)  (383,3184)  (335,3184)  (508,3185)  (460,3185)  (382,2897)  (430,2897)  (297,2896)  (401,3232)  | overflowToLeft=false
DK3  (136,632)  (88,679)  (88,631)  (170,680)  (139,584)  (184,632)  (187,581)  (57,583)  (96,727)  (232,629)  (235,562)  (280,610)  (280,658)  | overflowToLeft=false
NO2  | overflowToLeft=false
NO1  | overflowToLeft=false
NO4  | overflowToLeft=false
NO3  | overflowToLeft=false
FRH1  (2155,179)  (2107,226)  (2107,178)  (2202,227)  (2155,131)  (2203,131)  (2203,179)  (2154,274)  (2106,274)  (2059,224)  (2241,275)  (2251,122)  (2251,170)  (2299,98)  (2299,146)  | overflowToLeft=false
NO6  | overflowToLeft=false
NO5  | overflowToLeft=false
FRH3  (2180,779)  (2132,826)  (2132,778)  (2206,827)  (2180,731)  (2228,731)  (2228,779)  (2130,730)  (2140,874)  (2092,874)  (2084,826)  (2194,683)  (2242,683)  (2276,731)  (2276,779)  (2036,866)  | overflowToLeft=false
NO8  | overflowToLeft=false
FRH2  (2226,431)  (2178,478)  (2178,430)  (2273,479)  (2226,383)  (2274,383)  (2274,431)  (2176,382)  (2225,526)  (2177,526)  (2322,353)  (2322,401)  (2322,449)  (2128,407)  (2112,359)  (2234,574)  | overflowToLeft=false
NO7  | overflowToLeft=false
FRH5  (2677,303)  (2629,350)  (2629,302)  (2724,351)  (2677,255)  (2725,255)  (2725,303)  (2627,254)  (2676,398)  (2628,398)  (2581,350)  (2581,302)  (2772,351)  (2763,399)  (2580,399)  (2675,207)  (2723,207)  (2771,207)  (2773,255)  (2773,303)  (2715,446)  (2667,446)  (2533,351)  (2820,351)  (2619,447)  (2571,447)  (2532,399)  (2674,159)  (2722,159)  (2770,159)  (2821,281)  (2523,456)  (2485,351)  (2868,329)  (2484,408)  (2691,111)  (2739,111)  (2475,464)  (2787,101)  (2437,360)  (2916,347)  (2436,416)  (2695,63)  (2743,53)  | overflowToLeft=false
NO9  | overflowToLeft=false
FRH4  (2487,125)  (2439,172)  (2439,124)  (2534,173)  (2487,77)  (2535,77)  (2535,125)  (2437,76)  (2486,220)  (2438,220)  (2391,172)  (2582,173)  (2390,221)  (2583,51)  (2583,99)  (2469,268)  (2421,269)  (2373,269)  (2631,51)  (2325,262)  | overflowToLeft=false
FRH7  (2896,616)  (2848,663)  (2848,615)  (2943,664)  (2896,568)  (2944,568)  (2944,616)  (2846,567)  (2895,711)  (2847,711)  (2800,663)  (2800,615)  (2991,664)  (2799,712)  (2894,520)  (2942,520)  (2990,520)  (2992,568)  (2992,616)  (2798,567)  (2806,519)  (3038,502)  (2902,759)  (2854,759)  (2752,664)  (3039,664)  (2806,760)  (2854,472)  (2902,472)  (2950,472)  (3040,550)  (3040,598)  (3087,646)  (3088,531)  (3088,579)  | overflowToLeft=false
FRH6  (2507,688)  (2459,735)  (2459,687)  (2554,736)  (2507,640)  (2555,640)  (2555,688)  (2457,639)  (2506,783)  (2458,783)  (2411,735)  (2411,687)  (2602,736)  (2602,784)  (2554,784)  (2410,784)  (2505,592)  (2553,592)  (2601,592)  (2603,640)  (2603,688)  (2409,639)  (2409,591)  (2457,591)  (2649,546)  (2493,831)  (2363,736)  (2363,688)  (2650,736)  (2650,784)  (2362,815)  (2505,544)  (2553,544)  (2601,544)  (2651,594)  (2651,642)  (2361,640)  (2361,592)  (2361,544)  (2409,543)  (2457,543)  (2697,530)  (2698,788)  | overflowToLeft=false
FRH9  (2846,1437)  (2798,1484)  (2798,1436)  (2893,1485)  (2846,1389)  (2894,1389)  (2894,1437)  (2796,1388)  (2845,1532)  (2797,1532)  (2750,1484)  (2750,1436)  (2941,1485)  (2936,1533)  (2749,1533)  (2844,1341)  (2892,1341)  (2940,1341)  (2942,1389)  (2942,1437)  (2748,1388)  (2748,1340)  (2796,1340)  (2988,1295)  (2888,1580)  (2840,1580)  (2989,1485)  (2792,1581)  (2744,1581)  (2701,1527)  (2844,1293)  (2892,1293)  (2940,1293)  (2990,1343)  (2990,1391)  (2776,1292)  (2927,1628)  (2879,1628)  (3037,1439)  (2831,1629)  (2783,1629)  (2735,1629)  (2839,1245)  (2887,1245)  (3038,1317)  (3038,1365)  (2925,1676)  (3085,1413)  (2877,1677)  (3086,1322)  (3133,1370)  (3133,1418)  | overflowToLeft=false
FRH8  (2877,999)  (2829,1046)  (2829,998)  (2924,1047)  (2877,951)  (2925,951)  (2925,999)  (2827,950)  (2876,1094)  (2828,1094)  (2781,1046)  (2781,998)  (2948,1095)  (2780,1095)  (2875,903)  (2923,903)  (2971,903)  (2973,951)  (2779,950)  (2779,902)  (2827,902)  (2900,1142)  (2852,1142)  (2948,1143)  (2804,1143)  (2756,1143)  (2875,855)  (2923,855)  (2971,855)  (2731,866)  (2779,854)  (2827,854)  (2708,1183)  (2777,1191)  (2724,1231)  | overflowToLeft=false
FEM1  (154,2019)  (106,2066)  (106,2018)  (201,2067)  (154,1971)  (202,1971)  (202,2019)  (153,2114)  (105,2114)  (58,2066)  (58,2018)  (201,2115)  (57,2115)  (191,1923)  (239,1923)  (250,1971)  (250,2019)  (287,1905)  (298,1953)  | overflowToLeft=false
FDK1  (181,882)  (133,929)  (133,881)  (228,930)  (181,834)  (229,834)  (229,882)  (131,833)  (180,977)  (132,977)  (85,929)  (85,881)  (276,930)  (276,978)  (228,978)  (84,978)  (179,786)  (227,786)  (275,786)  (277,834)  (277,882)  (83,833)  (149,1025)  (324,930)  (324,978)  (101,1026)  (223,738)  (325,812)  (325,860)  (372,908)  (372,956)  (373,833)  | overflowToLeft=false
FEM2  (492,2012)  (444,2059)  (444,2011)  (539,2060)  (492,1964)  (540,1964)  (540,2012)  (442,1963)  (481,2107)  (433,2107)  (396,2059)  (396,2011)  (587,2060)  (588,1943)  (588,1991)  (394,1963)  (394,1915)  (442,1915)  (385,2108)  (348,2060)  (635,2039)  (635,2087)  (636,1929)  (636,1977)  (683,2025)  (683,2073)  (684,1970)  | overflowToLeft=false
FDK2  (658,827)  (610,874)  (610,826)  (705,875)  (658,779)  (706,779)  (706,827)  (608,778)  (657,922)  (609,922)  (562,874)  (562,826)  (753,875)  (753,923)  (705,923)  (561,923)  (656,731)  (704,731)  (752,731)  (754,779)  (754,827)  (560,778)  (800,685)  (514,875)  (514,827)  (801,875)  (513,962)  (677,683)  (725,683)  (802,733)  (802,781)  (512,779)  (773,637)  (821,637)  (848,685)  (849,829)  (849,877)  (722,635)  (850,733)  (850,781)  (464,807)  (464,759)  (416,768)  (368,748)  | overflowToLeft=false
FEM3  (324,2277)  (276,2324)  (276,2276)  (371,2325)  (324,2229)  (372,2229)  (372,2277)  (274,2228)  (250,2372)  (228,2324)  (228,2276)  (419,2325)  (419,2373)  (371,2373)  (322,2181)  (370,2181)  (420,2185)  (420,2233)  (226,2228)  (246,2180)  (202,2372)  (180,2324)  (180,2276)  (467,2281)  (467,2329)  (467,2377)  (468,2183)  (468,2231)  (178,2228)  (132,2362)  (132,2314)  (515,2279)  (515,2327)  (515,2375)  (516,2171)  (516,2219)  (130,2266)  (130,2218)  (84,2369)  (84,2321)  (563,2267)  (563,2315)  (563,2363)  (564,2158)  (564,2206)  (82,2273)  (82,2225)  (611,2254)  (611,2302)  (611,2350)  (612,2158)  (612,2206)  | overflowToLeft=false
FDK3  (316,1171)  (268,1218)  (268,1170)  (363,1219)  (316,1123)  (364,1123)  (364,1171)  (266,1122)  (315,1266)  (267,1266)  (220,1218)  (220,1170)  (411,1219)  (411,1267)  (363,1267)  (219,1267)  (314,1075)  (362,1075)  (410,1075)  (412,1123)  (412,1171)  (218,1122)  (218,1074)  (458,1029)  (172,1219)  (172,1171)  (459,1219)  (459,1267)  (171,1304)  (460,1077)  (460,1125)  (170,1123)  (124,1256)  (124,1208)  (507,1173)  (507,1221)  (507,1269)  (123,1320)  (508,1062)  (508,1110)  (122,1160)  (76,1272)  (76,1224)  (555,1253)  (555,1301)  (75,1324)  (74,1176)  | overflowToLeft=false
FEM4  (673,2686)  (625,2733)  (625,2685)  (720,2734)  (673,2638)  (721,2638)  (721,2686)  (623,2637)  (672,2781)  (624,2781)  (768,2734)  (768,2782)  (720,2782)  (671,2590)  (769,2675)  (603,2589)  (672,2829)  (624,2829)  (816,2829)  (768,2830)  (720,2830)  (651,2542)  (699,2542)  (672,2877)  (763,2878)  (619,2494)  (667,2494)  (628,2446)  (676,2446)  | overflowToLeft=false
FDK4  (721,1031)  (673,1070)  (769,1000)  (625,1076)  (817,991)  (593,1028)  (865,969)  | overflowToLeft=false
FEM5  (997,2797)  (949,2844)  (949,2796)  (1044,2845)  (997,2749)  (1045,2749)  (1045,2797)  (947,2748)  (996,2892)  (948,2892)  (901,2806)  (1092,2845)  (1092,2893)  (1044,2893)  (995,2701)  (1043,2701)  (1091,2701)  (1093,2749)  (1093,2797)  (899,2758)  (899,2710)  (947,2700)  (900,2899)  (996,2940)  (1140,2845)  (1095,2941)  (1047,2941)  (1141,2713)  (1141,2761)  (1188,2809)  (1189,2758)  | overflowToLeft=false
FDK5  (179,1468)  (131,1515)  (131,1467)  (226,1516)  (179,1420)  (227,1420)  (227,1468)  (129,1419)  (178,1563)  (83,1488)  (274,1516)  (274,1564)  (226,1564)  (194,1372)  (242,1372)  (275,1420)  (275,1468)  (81,1440)  (81,1392)  (290,1365)  (178,1611)  (302,1612)  (254,1612)  | overflowToLeft=false
FEM6  (964,3099)  (916,3146)  (916,3098)  (1011,3147)  (964,3051)  (1012,3051)  (1012,3099)  (914,3050)  (868,3126)  (1059,3147)  (1060,3040)  (1060,3088)  (866,3078)  (866,3030)  (914,3002)  (1107,3136)  (1108,3021)  (1108,3069)  (1155,3117)  (1156,3046)  | overflowToLeft=false
FDK6  (514,1470)  (466,1517)  (466,1469)  (561,1518)  (514,1422)  (562,1422)  (562,1470)  (464,1421)  (513,1565)  (465,1565)  (418,1517)  (418,1469)  (609,1518)  (417,1566)  (512,1374)  (610,1380)  (610,1428)  (416,1421)  (416,1373)  (464,1373)  (370,1518)  (657,1476)  (657,1524)  (658,1383)  | overflowToLeft=false
FEM7  (623,3018)  (575,3065)  (575,3017)  (670,3066)  (623,2970)  (671,2970)  (671,3018)  (573,2969)  (622,3113)  (574,3113)  (718,3066)  (685,3114)  (719,2960)  (719,3008)  (525,2969)  (536,2921)  (618,3161)  (767,2959)  | overflowToLeft=false
FDK7  (965,717)  (917,711)  (996,765)  (948,765)  (965,669)  (1013,669)  (910,663)  (992,813)  (944,833)  (992,861)  (944,881)  | overflowToLeft=false
FEM8  (769,3226)  (721,3253)  (721,3205)  (816,3274)  (769,3178)  (817,3188)  (673,3236)  (864,3236)  (864,3284)  (912,3245)  (912,3293)  | overflowToLeft=false
FDK8  (1422,183)  (1374,230)  (1374,182)  (1469,231)  (1422,135)  (1470,135)  (1470,183)  (1372,134)  (1421,278)  (1373,278)  (1508,279)  (1325,279)  (1420,87)  (1468,87)  (1516,87)  (1518,135)  (1324,155)  (1324,107)  (1372,86)  (1564,51)  (1460,326)  (1412,326)  (1364,327)  (1316,327)  (1490,374)  (1442,374)  (1394,375)  (1346,375)  (1464,422)  (1416,423)  (1368,423)  | overflowToLeft=false
FEM9  (951,3425)  (903,3472)  (903,3424)  (998,3473)  (951,3377)  (999,3377)  (999,3425)  (901,3376)  (855,3500)  (855,3452)  (1046,3473)  (988,3329)  (1036,3329)  (1047,3377)  (1047,3425)  (853,3404)  (830,3356)  (1084,3292)  (807,3500)  (807,3452)  (1094,3473)  (992,3281)  (1095,3340)  (1095,3388)  (805,3404)  (1040,3244)  (1088,3244)  (1132,3292)  (1136,3240)  (1142,3436)  (1142,3484)  (1143,3340)  (1143,3388)  (1180,3288)  (1184,3233)  (1190,3473)  (1191,3336)  (1228,3281)  | overflowToLeft=false
FDK9  (1188,637)  (1140,684)  (1140,636)  (1235,685)  (1188,589)  (1236,589)  (1236,637)  (1138,588)  (1187,732)  (1139,732)  (1092,684)  (1092,636)  (1283,685)  (1283,733)  (1235,733)  (1091,733)  (1186,541)  (1234,541)  (1282,541)  (1284,589)  (1284,637)  (1330,502)  (1187,780)  (1139,780)  (1331,685)  (1331,733)  (1331,781)  (1283,781)  (1235,781)  (1091,781)  (1148,493)  (1196,493)  (1244,493)  (1332,550)  (1187,828)  (1139,828)  (1331,829)  (1283,829)  (1235,829)  (1091,829)  (1145,445)  (1193,445)  (1241,445)  (1156,397)  (1204,397)  (1179,349)  (1227,349)  | overflowToLeft=false
RH1  (3322,612)  (3274,659)  (3274,611)  (3359,660)  (3322,564)  (3370,564)  (3370,612)  (3272,563)  (3226,649)  (3418,554)  (3418,602)  (3224,601)  (3466,556)  (3466,604)  (3176,635)  | overflowToLeft=false
RH3  (2938,140)  (2890,187)  (2890,139)  (2985,188)  (2938,92)  (2986,92)  (2986,140)  (2888,91)  (2937,235)  (2842,199)  (3033,188)  (3033,236)  (2985,236)  (3034,126)  (3023,284)  (2975,284)  | overflowToLeft=false
RH2  (3122,422)  (3074,440)  (3159,470)  (3081,374)  (3129,374)  (3084,326)  | overflowToLeft=false
FOT2  (3252,2388)  (3204,2421)  (3204,2373)  (3299,2436)  (3252,2340)  (3300,2340)  (3300,2388)  (3188,2325)  (3156,2384)  (3347,2436)  (3348,2353)  (3140,2336)  (3140,2288)  (3363,2484)  (3395,2401)  (3092,2357)  (3092,2309)  (3411,2449)  (3411,2497)  (3443,2384)  (3445,2545)  (3044,2331)  (3044,2283)  (3459,2432)  (3459,2480)  (3491,2384)  (3493,2528)  | overflowToLeft=false
FOT1  (2787,2280)  (2739,2327)  (2739,2279)  (2834,2328)  (2787,2232)  (2835,2232)  (2835,2280)  (2737,2231)  (2786,2375)  (2738,2375)  (2882,2328)  (2882,2376)  (2834,2376)  (2690,2376)  (2785,2184)  (2883,2194)  (2883,2242)  (2690,2183)  (2930,2290)  (2930,2338)  (2878,2424)  (2931,2210)  | overflowToLeft=false
FOT4  (3039,2515)  (2991,2562)  (2991,2514)  (3086,2563)  (3039,2467)  (3087,2467)  (3087,2515)  (2989,2466)  (3038,2610)  (2990,2610)  (3102,2611)  (3037,2419)  (3135,2465)  (3135,2513)  (2941,2506)  (3054,2658)  (3006,2658)  | overflowToLeft=false
FOT3  (2783,2583)  (2735,2630)  (2735,2582)  (2830,2631)  (2783,2535)  (2831,2535)  (2831,2583)  (2733,2534)  (2687,2654)  (2878,2631)  (2781,2487)  (2879,2559)  (2722,2486)  | overflowToLeft=false
FOT6  (2774,2809)  (2726,2856)  (2726,2808)  (2821,2857)  (2774,2761)  (2822,2761)  (2822,2809)  (2724,2760)  (2678,2863)  (2678,2815)  (2869,2857)  (2870,2735)  (2870,2783)  (2630,2863)  (2630,2815)  (2917,2831)  (2918,2726)  (2918,2774)  (2965,2822)  (2965,2870)  (2966,2743)  (3013,2791)  (3013,2839)  (3061,2809)  | overflowToLeft=false
FOT5  (3286,2660)  (3238,2707)  (3238,2659)  (3333,2708)  (3286,2612)  (3334,2612)  (3334,2660)  (3236,2611)  (3202,2755)  (3190,2707)  (3190,2659)  (3381,2708)  (3381,2756)  (3333,2756)  (3284,2564)  (3332,2564)  (3382,2597)  (3382,2645)  (3225,2563)  (3154,2782)  (3142,2734)  (3429,2693)  (3429,2741)  (3430,2626)  (3477,2674)  (3477,2722)  | overflowToLeft=false
FOT8  (2120,3339)  (2072,3386)  (2072,3338)  (2167,3387)  (2120,3291)  (2168,3291)  (2168,3339)  (2070,3290)  (2119,3434)  (2071,3434)  (2024,3386)  (2024,3338)  (2215,3387)  (2215,3435)  (2167,3435)  (2023,3435)  (2118,3243)  (2166,3243)  (2214,3243)  (2216,3291)  (2216,3339)  (2022,3290)  (2022,3242)  (2070,3242)  (2262,3197)  (2119,3482)  (2071,3482)  (1976,3387)  (1976,3339)  (2263,3387)  (2263,3435)  (2263,3483)  (2215,3483)  (2167,3483)  (2023,3483)  (1975,3483)  (1975,3435)  (2264,3245)  (2264,3293)  (1974,3291)  (1974,3243)  (1950,3195)  (2310,3156)  (2311,3341)  (2311,3389)  (2311,3437)  (2311,3485)  (2312,3204)  (2312,3252)  | overflowToLeft=false
FOT7  (2353,2863)  (2305,2910)  (2305,2862)  (2400,2911)  (2353,2815)  (2401,2816)  (2303,2814)  (2257,2930)  (2257,2882)  (2448,2864)  (2448,2912)  (2449,2814)  (2255,2834)  (2209,2896)  (2496,2862)  (2497,2806)  (2207,2848)  (2207,2800)  | overflowToLeft=false
FOT9  (2107,3016)  (2059,3063)  (2059,3015)  (2154,3064)  (2107,2968)  (2155,2968)  (2155,3016)  (2057,2967)  (2106,3111)  (2058,3111)  (2202,3064)  (2202,3112)  (2154,3112)  (2010,3112)  (2105,2920)  (2203,2988)  (2017,2919)  (2250,3036)  (2250,3084)  (2065,2872)  (2113,2872)  (1998,2871)  (2046,2824)  (2094,2824)  | overflowToLeft=false
FZ10  (1983,507)  (1935,553)  (1935,505)  (2030,555)  (1983,459)  (2031,459)  (2031,507)  (1932,457)  (1887,553)  (1887,505)  (2078,555)  (2079,468)  (1884,457)  (2120,603)  (2129,651)  | overflowToLeft=false
FZ12  (1899,1050)  (1851,1097)  (1946,1098)  (1858,1002)  (1906,1002)  (1947,1050)  (1954,995)  (1898,1145)  (1845,954)  (1893,954)  (1941,947)  | overflowToLeft=false
FZ11  (1845,728)  (1797,775)  (1797,727)  (1892,776)  (1845,680)  (1893,680)  (1893,728)  (1795,679)  (1844,823)  (1796,823)  (1749,775)  (1749,727)  (1940,776)  (1940,824)  (1892,824)  (1748,824)  (1843,632)  (1891,632)  (1941,646)  (1941,694)  (1747,679)  (1747,631)  (1795,631)  (1701,776)  (1701,728)  (1988,742)  (1988,790)  (1700,841)  (1989,648)  (1699,680)  (1699,632)  (2036,696)  (2036,744)  (2037,646)  | overflowToLeft=false
FDK10  (1704,262)  (1656,309)  (1656,261)  (1751,310)  (1704,214)  (1752,214)  (1752,262)  (1654,213)  (1703,357)  (1655,357)  (1608,309)  (1608,261)  (1799,310)  (1799,358)  (1751,358)  (1607,358)  (1702,166)  (1750,166)  (1800,202)  (1800,250)  (1606,213)  (1606,165)  (1654,165)  (1703,405)  (1655,405)  (1847,368)  (1799,406)  (1751,406)  (1702,118)  (1750,118)  (1617,117)  (1795,454)  (1665,70)  (1713,70)  | overflowToLeft=false
FZ14  (2987,1988)  (2939,2035)  (2939,1987)  (3034,2036)  (2987,1940)  (3035,1940)  (3035,1988)  (2937,1939)  (2986,2083)  (2938,2083)  (3082,2036)  (3082,2084)  (3034,2084)  (2890,2084)  (2985,1892)  (3033,1892)  (3081,1892)  (3083,1940)  (3083,1988)  (2889,1963)  (2889,1915)  (2937,1891)  (2883,1867)  (2986,2131)  (2938,2131)  (3130,2036)  (3130,2084)  (3121,2132)  (3073,2132)  (2890,2132)  (2985,1844)  (3033,1844)  (2931,1843)  | overflowToLeft=false
